GID,COD_LINEA,DESC_LINEA,ORDINAL_SU,COD_SUBLIN,DESC_SUBLI,COD_VARIAN,DESC_VARIA
16009404,0,LINEA CERO,1,0,SUBLINEA CERO,0,
16009406,1,402,1,1,CIUDAD VIEJA - MALVIN,8,A
16009407,2,404,1,2,CJO.J.AM├ëRICA - PCIO.DE LA LUZ,14,B
16009408,2,404,1,2,CJO.J.AM├ëRICA - PCIO.DE LA LUZ,20,A
16009409,3,405,1,3,PE├æAROL - PARQUE ROD├ô,24,B
16009410,3,405,2,246,GRUTA DE LOURDES - PARQUE RODO,28,B
16009411,3,405,1,3,PE├æAROL - PARQUE ROD├ô,37,A
16009412,3,405,2,246,GRUTA DE LOURDES - PARQUE RODO,48,A
16009413,4,407,1,4,SHOPPING PORTONES - PLAZA ESPA├æA,49,B
16009414,4,407,1,4,SHOPPING PORTONES - PLAZA ESPA├æA,52,A
16009415,5,409,1,5,PLAZA ESPA├æA - AVIACION CIVIL,55,B
16009419,8,456,1,9,ADUANA - INSTRUCCIONES (NOC.),98,B
16009420,8,456,1,9,ADUANA - INSTRUCCIONES (NOC.),101,A
16009427,12,D9,1,13,CIUDAD VIEJA - BARRIO MONTERREY,147,B
16009428,12,D9,1,13,CIUDAD VIEJA - BARRIO MONTERREY,153,A
16009429,14,L14,1,15,PASO DE LA ARENA - PASO MOLINO,168,B
16009430,14,L14,1,15,PASO DE LA ARENA - PASO MOLINO,170,A
16009431,15,505,1,16,ADUANA - ANDALUZ (NOC.),171,B
16009432,15,505,1,16,ADUANA - ANDALUZ (NOC.),174,A
16009435,17,524,1,19,CIUDAD VIEJA - TRES OMB├ÜES,185,B
16009436,17,524,1,19,CIUDAD VIEJA - TRES OMB├ÜES,186,A
16009439,19,538,1,21,ADUANA - BUCEO (NOC.),193,B
16009440,19,538,1,21,ADUANA - BUCEO (NOC.),205,A
16009441,20,546,1,22,BELVEDERE - PORTONES,217,B
16009442,20,546,1,22,BELVEDERE - PORTONES,218,A
16009443,21,582,1,23,PE├æAROL - PTA. CARRETA,219,B
16009444,21,582,1,23,PE├æAROL - PTA. CARRETA,220,A
16009445,22,D11,1,24,CIUDAD VIEJA - PARQUE ROOSEVELT,223,B
16009446,22,D11,1,24,CIUDAD VIEJA - PARQUE ROOSEVELT,224,A
16009447,23,100,2,26,PZA.ESPA├æA - A.SARAVIA,227,B
16009448,23,100,2,26,PZA.ESPA├æA - A.SARAVIA,231,A
16009449,23,100,3,27,PZA.ESPA├æA - V.FARRE,237,B
16009450,23,100,3,27,PZA.ESPA├æA - V.FARRE,242,A
16009451,26,102,1,31,PLAZA INDEPENDENCIA-GRUTA DE LOUR DES,254,B
16009452,26,102,1,31,PLAZA INDEPENDENCIA-GRUTA DE LOUR DES,266,A
16009453,26,102,2,32,ADUANA  - GRUTA DE LOURDES (NOC.),278,B
16009454,26,102,2,32,ADUANA  - GRUTA DE LOURDES (NOC.),280,A
16009455,27,103,5,38,PZA. ESPA├æA - CARLOMAGNO,338,B
16009456,27,103,5,38,PZA. ESPA├æA - CARLOMAGNO,339,A
16009457,27,103,6,39,PZA. ESPA├æA- LOS AROMOS,340,B
16009458,27,103,6,39,PZA. ESPA├æA- LOS AROMOS,343,A
16009459,28,104,1,42,ADUANA - PQUE. ROOSEVELT(NOC.),352,B
16009460,28,104,1,42,ADUANA - PQUE. ROOSEVELT(NOC.),356,A
16009461,28,104,3,44,PZA. INDEPENDENCIA - PQUE. ROOSEVELT,366,B
16009462,28,104,3,44,PZA. INDEPENDENCIA - PQUE. ROOSEVELT,370,A
16009463,29,105,1,45,PLAZA INDEPENDENCIA - PQUE. ROOSEVELT,372,B
16009464,29,105,1,45,PLAZA INDEPENDENCIA - PQUE. ROOSEVELT,395,A
16009465,29,105,2,46,ADUANA - PQUE.ROOSEVELT,413,B
16009466,29,105,2,46,ADUANA - PQUE.ROOSEVELT,417,A
16009467,30,106,2,49,ADUANA - T. RINALDI Y RAFAEL (NOC.),434,B
16009468,30,106,2,49,ADUANA - T. RINALDI Y RAFAEL (NOC.),442,A
16009469,30,106,4,51,PZA.ESPA├æA - T. RINALDI Y RAFAEL,452,B
16009470,30,106,4,51,PZA.ESPA├æA - T. RINALDI Y RAFAEL,455,A
16009471,31,109,1,53,PZA INDEPENDENCIA - PARQUE ROOSVELT,461,B
16009472,31,109,1,53,PZA INDEPENDENCIA - PARQUE ROOSVELT,469,A
16009473,32,110,3,57,PZA.ESPA├æA - P. MACADAM,498,B
16009474,32,110,3,57,PZA.ESPA├æA - P. MACADAM,522,A
16009475,33,111,1,59,ADUANA - MALVIN (NOC.),554,B
16009476,33,111,1,59,ADUANA - MALVIN (NOC.),562,A
16009477,33,111,2,60,PLAZA INDEPENDENCIA - MALVIN,569,B
16009478,33,111,2,60,PLAZA INDEPENDENCIA - MALVIN,571,A
16009479,34,112,2,62,ADUANA - PUNTA GORDA (NOC.),575,B
16009480,34,112,2,62,ADUANA - PUNTA GORDA (NOC.),585,A
16009481,34,112,3,63,PLAZA ESPA├æA - PUNTA GORDA,591,B
16009482,34,112,3,63,PLAZA ESPA├æA - PUNTA GORDA,593,A
16009483,35,113,1,64,PLAZA ESPA├æA- MALVIN,595,B
16009484,35,113,1,64,PLAZA ESPA├æA- MALVIN,602,A
16009485,37,115,1,66,ADUANA - VISTA LINDA (NOC.),616,B
16009486,37,115,3,245,CIUDADELA - VISTA LINDA,617,B
16009489,38,116,1,69,CIUDAD VIEJA - POCITOS,628,A
16009490,38,116,1,69,CIUDAD VIEJA - POCITOS,630,B
16009491,39,117,1,72,PLAZA INDEPENDENCIA - PUNTA CARRETAS,634,A
16009492,39,117,1,72,PLAZA INDEPENDENCIA - PUNTA CARRETAS,635,B
16009493,40,121,2,77,C.VIEJA - POCITOS/PTA.CARR.,640,A
16009494,40,121,2,77,C.VIEJA - POCITOS/PTA.CARR.,644,B
16009495,41,124,1,79,CIUDAD VIEJA - STA.CATALINA,647,B
16009496,41,124,1,79,CIUDAD VIEJA - STA.CATALINA,650,A
16009497,43,125,1,83,CIUDAD VIEJA -   DIQUE NACIONAL,666,B
16009498,43,125,1,83,CIUDAD VIEJA -   DIQUE NACIONAL,673,A
16009499,43,125,2,84,CIUDADELA - PLAYA DEL CERRO_1,683,A
